Datetime,"Leroy Musigny Grand Cru, Cote de Nuits","Leroy Domaine d'Auvenay Chevalier-Montrachet Grand Cru, Cote de Beaune","Leroy Domaine d'Auvenay Criots-Batard-Montrachet Grand Cru, Cote de Beaune","Leroy Chambertin Grand Cru, Cote de Nuits","Leroy Domaine d'Auvenay Mazis-Chambertin Grand Cru, Cote de Nuits","Leroy Domaine d'Auvenay Les Bonnes-Mares Grand Cru, Cote de Nuits","Leroy Corton-Charlemagne Grand Cru, Cote de Beaune","Domaine de la Romanee-Conti Montrachet Grand Cru, Cote de Beaune","Leroy Richebourg Grand Cru, Cote de Nuits","Leroy Romanee-Saint-Vivant Grand Cru, Cote de Nuits","Leroy Domaine d'Auvenay Meursault Chaumes des Perrieres, Cote de Beaune","Leroy Domaine d'Auvenay Meursault, Cote de Beaune","Leroy Domaine d'Auvenay Puligny-Montrachet en La Richarde, Cote de Beaune","Leroy Clos de la Roche Grand Cru, Cote de Nuits","Leroy Domaine d'Auvenay Les Folatieres, Puligny-Montrachet Premier Cru","Leroy Corton-Renardes Grand Cru, Cote de Beaune","Leroy Aux Brulees, Vosne-Romanee Premier Cru","Leroy Domaine d'Auvenay Meursault Les Narvaux, Cote de Beaune","Leroy Chambolle-Musigny Les Fremieres, Cote de Nuits","Leroy Clos de Vougeot Grand Cru, Cote de Nuits","Leroy Latricieres-Chambertin Grand Cru, Cote de Nuits","Leroy Les Charmes, Chambolle-Musigny Premier Cru","Leroy Les Combottes, Gevrey-Chambertin Premier Cru","Leroy Domaine d'Auvenay Auxey-Duresses Les Clous, Cote de Beaune"
05-2023,46591.76,29554.16,22228.24,14148.40,14512.96,12633.12,11494.80,13091.25,11226.96,11091.80,8667.60,8192.44,10066.25,8578.32,9776.16,8303.04,8187.50,8728.36,7898.80,7190.00,8041.48,6398.28,6935.04,6867.12
06-2023,38538.38,29882.16,21403.62,14592.06,13752.90,13019.58,11895.66,13136.56,11487.42,10701.18,8583.12,6810.30,9858.00,8780.94,9763.74,8179.92,7845.48,8458.38,7355.85,7048.16,7743.96,6160.93,6983.61,6787.62
07-2023,46840.36,27284.68,21921.54,14366.77,13331.87,13120.96,11790.00,12702.06,11678.65,10867.76,8597.53,7434.25,9742.32,9121.53,9331.13,8452.12,8217.72,8308.02,7613.72,6991.74,7968.73,6107.43,6591.30,7000.64
08-2023,43921.68,25181.56,21167.09,13458.19,13841.73,12872.72,11278.87,12984.72,11572.24,10718.80,8702.04,7839.71,9819.76,9321.63,9142.73,8076.66,8542.51,8157.21,7465.06,7202.38,8093.71,6227.28,6183.88,6808.47
09-2023,47056.76,27278.76,20812.16,13693.32,13172.52,12584.76,10754.52,12636.50,11682.04,10840.08,8557.24,6911.76,9782.81,8792.84,8749.44,7430.08,8449.31,8119.52,7789.68,6991.35,8072.40,6411.79,6137.12,6459.16
10-2023,48841.65,26237.64,20406.65,14291.31,12702.58,13190.21,10908.15,12458.28,11359.48,10379.38,7658.09,6756.64,9607.52,8961.26,8807.59,6863.12,7719.00,7897.67,7675.03,6971.28,8281.24,6768.69,6180.75,6285.95
11-2023,46471.86,26318.31,20196.60,13402.08,12292.62,13173.30,10815.39,12229.47,11420.52,10211.46,9072.48,6534.99,9469.46,9089.70,8815.41,6692.43,7647.20,8017.14,7963.02,6981.70,7979.49,6725.88,6346.62,6218.88
12-2023,46803.96,24055.92,19484.64,14219.10,12102.30,13277.88,10964.52,12237.27,11494.98,10383.66,9397.08,6606.18,9386.13,9169.02,8933.40,7489.44,7766.22,7985.40,7781.76,6822.81,7517.26,6536.69,6687.82,6142.50
01-2024,46051.47,23921.72,19752.31,13435.33,12245.34,12819.38,10920.73,12199.32,11470.64,10226.04,9206.23,6572.25,9216.90,8831.58,8914.13,7932.42,7877.52,7954.01,8022.59,7084.34,7385.05,6298.74,6403.32,6064.25
02-2024,44292.78,24047.10,19314.54,12966.66,11641.14,12432.42,10338.30,12080.24,11070.36,10110.24,9298.80,6613.74,9253.22,8682.66,8405.46,7392.42,7941.31,7796.88,7751.76,7081.52,7297.92,6310.40,6659.84,6056.82
03-2024,46490.88,24865.28,21041.92,12620.80,11793.92,12625.92,10590.72,11718.00,11656.96,10385.92,9984.00,7157.76,9175.32,8983.04,8431.36,7927.04,7786.80,8044.80,7342.80,6826.68,7119.36,6295.00,6421.25,5971.20
04-2024,51998.75,25478.75,20340.00,13570.00,11417.50,12235.00,10702.50,12202.24,11382.50,10232.50,9995.00,7287.50,8608.08,9072.50,8638.75,7861.25,7932.16,7766.25,7280.00,6976.00,7417.50,6305.04,6422.22,5868.72
05-2024,44915.22,24804.36,20480.04,12816.72,11740.68,12480.30,10809.54,11650.00,11229.12,9960.30,10446.66,7402.50,8388.75,8827.56,8472.24,7856.10,7762.50,7462.98,7158.06,6897.50,7149.24,6298.88,6570.24,6150.06
06-2024,44172.80,24944.64,20010.24,12968.88,11732.48,11627.52,10922.24,11757.06,11217.92,10257.92,10086.40,8622.08,8368.92,8678.40,8412.16,7920.64,7993.44,7508.45,7312.64,6713.28,7379.20,6241.30,6509.10,6080.00
07-2024,39621.40,24399.70,199961.50,13092.30,11869.00,11521.90,10917.40,11377.92,11104.60,10338.90,10247.90,8364.20,8590.08,8815.30,8434.40,8178.30,7971.84,7790.90,7284.80,6602.24,7377.50,6243.27,6468.06,5751.20
08-2024,49681.77,23214.87,20015.64,13494.69,11842.20,11635.80,11213.97,11403.60,11087.55,10138.11,10375.47,8759.10,8239.40,8662.35,8454.66,8026.38,7875.40,7768.38,7700.01,6422.00,7036.95,6242.15,6276.21,5704.38
09-2024,42805.18,23095.30,22618.46,13933.16,12445.00,11772.97,11472.98,11530.02,10554.67,9797.49,11070.81,8639.45,8446.92,0563.47,8729.84,8311.95,7857.39,7624.20,7245.61,6384.21,7083.17,6052.20,6217.26,5836.05
10-2024,37830.18,23371.71,22152.10,13469.42,12269.46,11810.93,11921.00,11467.74,10662.09,9342.92,11178.81,8471.77,8473.08,8317.19,8666.96,8082.70,7836.42,7586.21,7160.43,6464.85,6925.97,6109.97,6027.42,5630.38
11-2024,36790.63,22866.35,23002.24,13182.60,11462.22,11079.48,11607.80,11062.97,10379.71,9362.44,10237.47,8347.71,8251.19,8102.60,7923.53,7689.85,7485.36,7329.17,6691.63,6481.88,6675.12,6122.34,5990.04,5769.61
